nombre;nif;email;telefono;direccion;provincia
JULIAN GARCIA RUIZ;;;914714999;PAULINO ODIAGA, 20, 00504;MADRID, ESPAÑA
JULIAN HORCAJO E HIJOS, S.L.;;;006525790;DE MADRID, 01075;S.S. DE LOS REYES, ESPAÑA
JULIAN MARTIN LEBRUSAN;;;000806070;MIGUEL DE CERVANTES, 00333;FUENTE EL FRESNO, ESPAÑA
JULIAN ORTEGA GIL;;;000000000;SOLIDARIDAD, 4, 02512;ALCORCON, ESPAÑA
JULIAN TORRES E HIJOS, S.L.;;;000631321;VELÁZQUEZ, 39, 01556;LA SOLANA, ESPAÑA
JULIANA MORENO ZUGASTI;;;689310323;BARRIONUEVO, 32, 00237;MORCILLO, ESPAÑA
JULIO BEGARA BUENO;;;000000000;HORTALEZA, 34, 00502;MADRID, ESPAÑA
JULIO BELLIDO MATERIALES DE CONST., S.L.;;gustavo@grupobellido.es;000601939;B, PARC. 27 -POLIGONO LA PAZ, 01787;TERUEL, ESPAÑA
JULIO CARRETERO HIDALGO;;;000000000;DULCINEA, 4, 02197;ALCOLEA DE CALATRAVA, ESPAÑA
JULIO ENRIQUE MOLINA SANTIAGO;;;625596036;CALDERÓN DE LA BARCA, 47, 01609;VILLACAÑAS, ESPAÑA
JULIO GUTIERREZ HERNANDEZ;;;000000000;CUEVAS, 1, 01380;BOROX, ESPAÑA
JULIO HERRANZ ALONSO;;;646061995;ENTREPRADOS, 8, 01671;LA CAÑADA, ESPAÑA
JULIO MANUEL JIMENEZ MORATO;;;008577112;AVENIDA SALUD, 01618;MORALZARZAL, ESPAÑA
JULIO MARTIN ARAGON;;;629128450;FUENTECILLA, 3, 01374;SEGURILLA, ESPAÑA
JULIO PASTOR RIOL;;;983751174;JESUS, 2, 01475;MAYORGA, ESPAÑA
JULIO VAZQUEZ, S.L.;;;004337778;DOCTOR ESQUERDO, 140-PORTAL 3, 01675;MADRID, ESPAÑA
JULYPOOL, S.L.;;info@julypool.com;000318292;LAS FLORES, PARC. 70-71, 01899;PUNTA UMBRIA, ESPAÑA
JUMELA SANCHO, S.L.;;admjumelasancho@bigmat.es;000000000;CTRA. NAVAHERMOSA, 7, 02902;MAZARAMBROZ, ESPAÑA
JUSCANAL, S.L.;;;000411762;MAYOR, 01184;MURCHANTE, ESPAÑA
JUTO, S.L;;;969-124054;CTRA. CASTILLA-LA MANCHA KM. 90, 00387;CARRASCOSA DEL CAMPO, ESPAÑA
JUVENTINO ALVAREZ, S.L.;;compras@juventinoalvarez.es;000311231;VALLADOLID, 73, 00466;MANSILLA DE LAS MULAS, ESPAÑA
KAH COMPANY, LTDA;;;007054461;2-28-8 UNOMORI, MINAMI-KU SAGAMIHARA, 02506;KANAGAWA, JAPON
KALA DESARROLLOS Y ESTRUCTURAS 2010,SLU;;;000000000;JUAN PABLO II,  1   -   3º C, 01865;TOMELLOSO, ESPAÑA
KAPPA SIGMA TRADING, LTD.;;c.sophocleous@cytanet.com.cy;022378050;SINOPSIS STREET NO. 3, 02944;NICOSIA, CHIPRE
KATANIA INGENIERIA CIVIL, S.L.;;;005696878;MAYOR, 01898;LA ROMANA, ESPAÑA
KATUSEVABRIK OÜ;;;000000000;JOALA, 4, 03039;NARVA, ESTONIA
KEOS SRL;;info@keossrl.it;006886322;VIA GIACOMO BRODOLINI, 6, 03051;CONCOREZZO, ITALIA
KEREN-STONE;;keren@kerenstone.co.il;000000000;HAPATISH ST., 02317;HOD HASHARON, ISRAEL
KIMPE SAS (FRANCIA);;contac@kimpe.fr;000427090;35 RUE LAMBIC, 02065;TOULOUSE, FRANCIA
KIRIN CERAMIC CO., LTD.;;kirin2016@naver.com;004321217;GURYONG-RI, JINAN-EUP, JINAN-GUP, 02476;JEOLLABUK-DO, COREA DEL SUR
KRECE ESTRUCTURAS, S.L.;;sdelrio77@yahoo.es;687572512;PARLA, 27, 2º C, 01628;HUMANES DE MADRID, ESPAÑA
KREITMAKER INC.;;peter@kreitmaker.com;004239090;INDUSTRIAL ST., 02720;TORONTO, CANADA
KRONOSSY, S.L.;;;000000000;AVDA. CONSTITUCION, 7, 01632;COSLADA, ESPAÑA
KRZYSZTOF BIZON;;;000000000;SAN ANTON, 81, 02278;PARLA, ESPAÑA
KSB PROJETC INVEST GmbH;;;000000000;AschmattstraBe, 8, 02244;Baden-Baden, ALEMANIA
KUEHNE & NAGEL, S.A.;;carmen.pozo@kuehne-nagel.com;002443600;TAJO, 8 - POL. IND. LAS ACACIAS, 02661;MEJORADA DEL CAMPO, ESPAÑA
LA ALMUDENA, S.L.;;;915591175;MONSERRAT, 22, 00709;MADRID, ESPAÑA
LA BOUTIQUE DE LA CERÁMICA;;;000552131;DOCTOR BONARDELL, 00327;ALCAZAR DE SAN JUAN, ESPAÑA
LA CASA DE LA CONST.-HERMANOS RAMAS, S.L.;;administracion@lacasadelaconstruccion.es;000615505;VIRGEN DEL PILAR, NAVE 1, 02005;PEDROLA, ESPAÑA
LA CONSTRUCTORA ILICITANA, S.L.;;;005434010;CTRA. MURCIA-ALICANTE, KM. 53, 01990;ELCHE, ESPAÑA
LA DILIGENCIA CATERING, S.L.;;;000000000;LAS MATAS, 37, 00841;MADRID, ESPAÑA
LA MARROQUINA, S.L.;;;926530142;TIRSO DE MOLINA, 14, 00318;SOCUELLAMOS, ESPAÑA
LA PALOMA CERAMICA Y GRES, S.L.;;info@ceramica-lapaloma.es;925-554600-2020;CAMINO DEL FERROCARRIL, S/Nº, 01391;PANTOJA, ESPAÑA
LA PLATAFORMA DE LA CONSTRUCCION, S.A.;;;004818888;JUAN JOSE VIDAL, 4  P.I. LAS MEZQUITAS, 01063;GETAFE, ESPAÑA
LA VEGA DEL GENERALIFE, S.L.;;geneve96@yahoo.es;000000000;LEGANES, 8, LOCAL 1, 02649;FUENLABRADA, ESPAÑA
LA VIVIENDA QUE QUIERES S.C.V.;;alicia@dooko.es;617371423;MIGUEL HERNANDEZ, 14 BAJO, 02844;VILLENA, ESPAÑA
LABARCA-2 GRUPO INMOBILIARIO, S.L.;;;000000000;MIGUEL ISCAR, 15, 01673;VALLADOLID, ESPAÑA
LABORATORIO TECNICO CERAMICO, S.L.;;ltceramico@gmail.com;008034868;GRAN BRETAÑA, 11, 02131;IGUALADA, ESPAÑA
LADAL, S.A.;;pedro@guioladal.es;006990799;ANT. CTRA. MADRID-TOLEDO, KM., 00944;PARLA, ESPAÑA
LADRILLERA REYES, S.L.;;;000445555;PAGO CHINAREJO, S/N, 01739;CONIL DE LA FRONTERA, ESPAÑA
LADRILLERIA ROSO, S.L.;;;000511362;NUEVO TOLEDO, 8, 01318;ILLESCAS, ESPAÑA
LADRILLOS LA ALAMEDA, S.L.;;;000500008;DE OCAÑA, KM. 33,500, 01894;ALAMEDA DE LA SAGRA, ESPAÑA
LADRILLOS MORA, S.L.;;;000511286;ANTIGUA MADRID-TOLEDO KM. 38,400, 01941;ILLESCAS, ESPAÑA
LAGOL, S.L.;;;000214467;DEL CAÑO ARGALES, 01520;VALLADOLID, ESPAÑA
LAGUCYL, S.L.;;;000540104;MADRID, 14 BIS, 02954;LAGUNA DE DUERO, ESPAÑA
LAGUNKETA, S.A.U.;;;000128887;PORTAL DE GAMARRA, 1. EDIF. DEBA OF. 12, 02988;VITORIA, ESPAÑA
LANCHO CANDELEDA, S.L.;;;920-380936;CTRA. DE OROPESA, KM. 1,5, 00095;CANDELEDA, ESPAÑA
LAS VILLAS DE ENMEDIO, S.L.;;;91-8169539;REAL, 9  OFICINA 8, 00840;TORREJON DE LA CALZADA, ESPAÑA
LAS VILLAS DE TORRECALZADA, S.L.;;;000540249;GENERAL MOSCARDO, 3  3º  E, 00537;MADRID, ESPAÑA
LASCAUS, S.L.;;;913456238;FELIX BOIX, 9 - 6º, 00747;MADRID, ESPAÑA
LATRO CONSTRUCCIONES, S.L.;;;000000000;ANTONIO LOPEZ, 249, 01724;MADRID, ESPAÑA
LAYNA, C.B.;;;000814677;ERMITA, 1, 01614;ABANADES, ESPAÑA
LAZAR ILIEV STRISHKOV;;;000000000;PINTOR MIRO, 2, 02159;MOSTOLES, ESPAÑA
LAZARO GALA ELVIRA;;;000000000;BIDASOA, 2, 00624;COLMENAREJO, ESPAÑA
LAZARO JOSE, S.L.;;;914656465;ALVAREZ ABELLAN, 23, 00718;MADRID, ESPAÑA
LEANDRO ALBERTO PASSOS CHAGAS;;;000000000;SAN EMILIO, 30 BAJO IZDA., 02580;MADRID, ESPAÑA
LEANDRO NARROS COLLADO;;;91-8636034;NAVAYUNCOSA, 28, 00552;ALDEA DEL FRESNO, ESPAÑA
LECA, C.B.;;;968-810049;LOS LECHUGAS, 4, 01160;EL RAAL, ESPAÑA
LEIOA MATERIALES DE CONSTRUCCION, S.L.;;lmc@grupoleioa.com;004801069;SANTIMAMI AUZOA, 35, 01773;LEIOA, ESPAÑA
LEIRADO Y CASTELLS, C.B.;;;000000000;LOPEZ GRASS, 34, 02493;MADRID, ESPAÑA
LEO CASTILLO CARPINTERO;;;008586608;CAPELLANIA, 29  P.I. CAPELLANIA, 01050;MOLRALZARZAL, ESPAÑA
LEONES MATERIALES DE CONSTRUCCION, S.L.;;leonesmc@hotmail.com;005846295;MADRE DE DIOS, 33, 01828;MARCHENA, ESPAÑA
LES TERRASSES DEL PRAT, S.L.;;;000000000;PASSEIG FONT FARGUES, 51 BAJOS, 02968;BARCELONA, ESPAÑA
LEYSER PROYECTOS Y CONSTRUCCION, S.A.;;ajimenez@leyser.com;006397452;REYES CATOLICOS, 6, OFICINA 13-B, 01788;MAJADAHONDA, ESPAÑA
LICINIO RAMOS, LDA;;;234794745;DO COMERCIO, 30 - CASTA, 01761;COVAO DO LOBO, PORTUGAL
LICUAS, S.A.;;;003531050;FELIPE MORA, 00955;MADRID, ESPAÑA
LIFT MADRID, S.L.;;;659810518;CARCALACUEVA, 38*URB. LAS CUESTAS, 01083;GALAPAGAR, ESPAÑA
LINEA 9 MADRID U.T.E.;;;007350340;RIBERA DEL LOIRA, 42, 01781;MADRID, ESPAÑA
LINEA ESTRUCTURAL, S.A.;;;91-7400342;PASEO DELICIAS, 30   4º, 00828;MADRID, ESPAÑA
LIROLA INGENIERIA Y OBRAS, S.L.;;OFICINA 20;000373273;BULEVAR EL EJIDO Nº 301 -PL. 4  PTA. 2, 02265;EL EJIDO, ESPAÑA
LIVEN VENTANAS, S.L.;;;000000000;INDEPENDENCIA, 1, 03067;CASTELLON, ESPAÑA
LKW WALTER INTERNATIONALE TRANSPORTORGANISA;;;000000000;STRABE, 14 - POSTFACH 36, 03023;, AUSTRIA
LOIU MATERIALES DE CONSTRUCCION, S.L.;;ziortza@loiumat.com;004530451;IDORSOLO KALEA, 11, 02328;DERIO, ESPAÑA
LONJAS TECNOLOGIA, S.A.;;;004519700;ARAGONESES, 9   BIS, 01506;ALCOBENDAS, ESPAÑA
LOPEZ BAYO, C.B.;;;921556106;CTRA. DE AYLLON, S/N, 01208;CAMPO DE SAN PEDRO, ESPAÑA
LOPEZ CARRASCO, C.B.;;;926-336236;ALTO DE LA CRUZ, S/Nº, 00305;VISO DEL MARQUES, ESPAÑA
LOPEZ CONTRERAS, S.L.;;;968610721;GARCIA LORCA, S/N, 01137;MOLINA DE SEGURA, ESPAÑA
LOPEZ MONTENEGRO Y ROY, S.L.;;;91-6963475;CTRA. DE TOLEDO KM. 10,500, 00544;GETAFE, ESPAÑA
LOPEZ RUBIO, C.B.;;;008521378;MANUEL GONZALEZ AMEZOA, 01031;CERCEDILLA, ESPAÑA
LOPP JOCAR, S.L.;;jocarsl7982@gmail.com;007650215;GARCIA LORCA, 64, 02191;TORRES DE LA ALAMEDA, ESPAÑA
LORENZA VIZUETE RUDILLA;;;924891215;CARRERA, 35, 00173;AZUAGA, ESPAÑA
LORENZO RIOFRIO TORIJA;;;000339502;ALCOLEA, 6, 01631;GALAPAGOS, ESPAÑA
LORETO CALABRIA GARCIA;;;000000000;MERCE RODOREDA 5, BAJO PTA. 4C, 02623;VERGEL, ESPAÑA
LORISAC, S.L.;;;000000000;CASTILLA, 01485;LAGUNA DE DUERO, ESPAÑA
LORVIBEL, S.L.;;;000521077;SANTA RITA, 00355;ARGAMASILLA DE ALBA, ESPAÑA
LOS BELIS, S.A.;;illescas@losbelis.com;000760396;AVDA. DE LA ESTACION, 95, 01459;TORRIJOS, ESPAÑA
LOS GUADARRANQUES, C.B.;;;924642290;CTRA. PELOCHE, S/N**APDO. 24, 00144;HERRERA DEL DUQUE, ESPAÑA
LOS PACOS E HIJOS, S.L.;;;000782217;LOS MOLINOS, 7, 01348;ESCALONA, ESPAÑA
LOS PEPOTES, S.A.;;;000631580;EMILIO NIETO, 00354;LA SOLANA, ESPAÑA
LOS TRES MENUDOS, S.L.;;;008623401;CAMINO DEL LOMO S/N, 01413;ALMOROX, ESPAÑA
LOSADA, S.C.P.;;;006993114;CTRA. MARTORELL--TERRASSA, KM. 10,400, 01545;TERRASSA, ESPAÑA
LUCAS & LLUFRIO LIMITED;;eddie@interbuild.gi;00 350 200 74567;UNIT 12, THE NEW HARBOURS, 02423;GX11   1AA  GIBRALTAR, GIBRALTAR
LUCAS Y MARTINEZ, S.L.;;;000433615;PARAJE CRUZ DEL COLLADO, 1, 01174;BENIZAR-MORATALLA, ESPAÑA
LUCIO DA SILVA AZEVEDO &FILHOS, S.A.;;lucios@azevedos-sa.com;000028260;RUA JOSE MARTINS MAIA, 45, 02000;VILAR DO PINHEIRO, PORTUGAL
LUCKESON & SACKVILLE DEVELOPMENT GROUP, S.L.;;;000000000;MARTINEZ CUBELLS, 10 P 4ª, PUERTA 11, 02788;VALENCIA, ESPAÑA
LUDISVINDO ROMERO ARIAS;;;91-8132008;LA PALMA, 547 - URB. CALIPO, 01237;CASARRUBIOS, ESPAÑA
LUDISVINDO ROMERO CONDE;;ludisvindo@hotmail.com;918132008;ZARAGOZA, 610, 01843;CASARRUBIOS DEL MONTE, ESPAÑA
LUIS ALFONSO BENITO RODRIGUEZ;;;647697210;DIAMANTE, 01379;ALMOROX, ESPAÑA
LUIS ALFREDO LEON ALBA;;leonluis_29@yahoo.es;000000000;LAGOBLANCO, 2, 02772;PARLA, ESPAÑA
LUIS ALISES RICO;;;000898634;PUERTO LAPICE S/N, 00356;VILLARRUBIA DE LOS O, ESPAÑA
LUIS ANGEL GAY RODRIGUEZ;;;000000000;MATALURGIA, 8  OFIC. 15, 01637;ZARATAN, ESPAÑA
LUIS CID MARTIN;;;91-6052019;SANTO TOMAS DE AQUINO, 35, 00500;PARLA, ESPAÑA
LUIS DE REYNA FAU;;luisdereyna@yahoo.com;000000000;AVDA. DE ATENAS, 75  LOCAL 57, 02007;LAS ROZAS, ESPAÑA
LUIS FERNANDEZ GALLEGO;;;987547195;AVDA. ARGANZA, 16, 00448;CACABELOS, ESPAÑA
LUIS FERNANDO CALLEJA HIJAZO;;;005530659;HERNANI, 42, 00710;MADRID, ESPAÑA
LUIS GUTIERREZ PASAMONTES;;;000000000;PUERTA DEL SOL, 8, 01946;GETAFE, ESPAÑA
LUIS MANTILLA VILLARTA;;;000000000;SESEÑA, 3, 01285;BOROX, ESPAÑA
LUIS MARTINEZ BENITO, S.A.;;maiteruiz@grupolmb.com;000145012;MAESTRO ARROYO, 2, BAJO, 02629;CALAHORRA, ESPAÑA
LUIS PARES, S.L.;;;002523000;GRAN VIA DE CARLES III, 124, 2ª PLANTA, 03047;BARCELONA, ESPAÑA
LUIS ZAFRILLA RODENAS;;;000510744;PADRE ROMANO, 58, BAJO, 01793;ALBACETE, ESPAÑA
LUISA MONTOYA GALDON;;;000000000;DE JAEN, KM. 80, 00047;ALCARAZ, ESPAÑA
LUNTEC, S.L.;;oscarmab@luntec.es;000215390;ABILIO ROSILLO, 2, 02750;CACERES, ESPAÑA
LUPICINIO SANZ DE LEMA;;;619743854;EL ROLLO, 8, 00729;EL BOALO, ESPAÑA
M. ANGEL SEVILLANO VILLAPLANA;;;000000000;PODEROSAS, 17, 00737;MADRID, ESPAÑA
M. G. SAAVEDRA, S.L.;;;005683067;LLANO AMARILLO, 3**CTR. SEVILLA-MALAGA, 02058;ALCALA DE GUADAIRA, ESPAÑA
M.C. NUDIS, S.L.;;;000305554;CTRA. DE JAEN, 27, 00009;HELLIN, ESPAÑA
M.C. RASEDO, S.L.;;;918875123;CONSTITUCIËN, 4, 00639;DAGANZO, ESPAÑA
M¬ DE LAS NIEVES GARCIA MARTINEZ;;;924270051;AVDA. CAROLINA CORONADO, 33, 00177;BADAJOZ, ESPAÑA
M¬ DEL CARMEN SANCHEZ DE ROJAS NOGUERA;;;000000000;DONANTES DE SANGRE, 9, 01360;ILLESCAS, ESPAÑA
Mª BEGOÑA SANZ ALCALDE;;;000795079;MENTRIDA, 01417;LA TORRE DE ESTEBAN HAMBRAN, ESPAÑA
Mª GEMMA ROLDAN ROMERO;;;609446490;SANTA ANA, 21 LOCAL, 01644;PARACUELLOS DEL JARAMA, ESPAÑA
MABUGA, S.L.;;mabugasl@hotmail.com;006094232;FUENLABRADA A ARROYOMOLINOS, KM. 8,1, 01104;MORALEJA DE ENMEDIO, ESPAÑA
MAC 3 STUDIO & DESING, S.L.;;;001695089;CENTRO, 3, 4º 20, 02617;TORREJON DE ARDOZ, ESPAÑA
MACARIO ESCOBAR GOMEZ;;;916903960;FERROCARRIL, 2 BIS, 00730;FUENLABRADA, ESPAÑA
MACARRO Y GUERRERO, C.B.;;;924536589;FONTANA, 27, 00143;RIBERA DEL FRESNO, ESPAÑA
MACCARVILL DISTRIBUTION IRL., LTD.;;;000000000;10B, KCR INDUSTRIAL ESTATE, 02765;RAVENSDALE PARK, IRLANDA
MACECU AZULEJOS Y CHIMENEAS, S.L.;;info@macecu.com;000424344;MAESTRO SANCHEZ MASCARAQUE, 38, 02518;CUERVA, ESPAÑA
MACERIBE, S.L.;;maceribesl@yahoo.es;000000000;POL. EMP. INBISA LAUAXETA, PAB. 21A, 02066;AMOREBIETA, ESPAÑA
MACESA DE EXTREMADURA, S.L.;;;927504100;CTRA. DE CACERES, KM. 1, 00231;CORIA, ESPAÑA
MACIAS BARRENA HNOS. S.A.;;;924-323857;AVDA. ESPRONCEDA, 69, 00131;CALAMONTE, ESPAÑA
MACOBI, S.A.;;;000427959;LERIDA, 49, 01622;BINEFAR, ESPAÑA
MACOIFER, S.L.;;macoifer@hotmail.com;008977529;REAL, 36 BAJO, 00556;VALDEMORILLO, ESPAÑA
MACONDEX, S.L.;;macondex@hotmail.com;008625803;NAVAYUSO, S/Nº, 00109;EL TIEMBLO, ESPAÑA
MACOSACRU, S.L.;;;926-342377;CTRA. TORRENUEVA, S/Nº, 00295;SANTA CRUZ DE MUDELA, ESPAÑA
MACOTRAN, S.L.U.;;contenedores@macotran.com;003594739;NICARAGUA, 15 - LOCAL, 02370;MADRID, ESPAÑA
MACOTRANS 2, S.L.;;info@fanton.es;914077505;JULIAN CAMARILLO, 14, 00514;MADRID, ESPAÑA
MACOTRANS S. COOP.;;;920320266;PASEO DE FUERA, 8, 00099;MADRIGAL DE LAS ALTAS TORRES, ESPAÑA
MACOV, S.L.;;macov@macov.com;000269194;POL. IND. ONZONILLA, 00462;ONZONILLA, ESPAÑA
MACOVIVE, S.L.;;;610546987;CAMINO DE SOTILLO, 00954;VELILLA DE SAN ANTONIO, ESPAÑA
MACRODILLA, S.L.;;;927560653;CTRA. DE NAVALMORAL, S/N, 00266;JARANDILLA DE LA VERA, ESPAÑA
MACRU, S.A.;;macru@macrusa.com;000812079;CTRA. ALCAUDETE, KM. 1,600, 01254;TALAVERA DE LA REINA, ESPAÑA
MACRUMA, S.A.;;;006926254;DE LAS PALOMAS, 00584;PINTO, ESPAÑA
MADERAS Y MATERIALES ARRY, C.B.;;;000370103;CEMENTERIO, S/N, 00467;BENAVIDES DE ÓRBIGO, ESPAÑA
MADRID AND MADRID 168, S.L.;;;000000000;SAPPARO, 10, 01855;HUMANES DE MADRID, ESPAÑA
MAESTRA REHABILITACIONES Y REFORMAS 2013, S.L.;;;000000000;REAL, 38, 02340;MANZANARES, ESPAÑA
MAFDEL, SAS;;;000962190;131, RUE DE LA PLAINE, 02362;SAINT GEORGES D´ESPERANCHE, FRANCIA
MAFER REHABILITACIÓN, S.L.;;mafer_rehabilitacion@hotmail.com;007912730;COSTA DORADA, 4, LOCAL 49, 00198;SANT VICENÇ DE MONTALT, ESPAÑA
MAGARDY, S.L.;;magardy1943@hotmail.com;000661074;LOPEZ DE AYALA, 134, 00120;ALMENDRALEJO, ESPAÑA
MAGATZEM ARENYS, S.L.;;;007951318;DE CAPELLANS, S/N, 01980;ARENYS DE MUNT, ESPAÑA
MAGDALENO GARCIA TORREJON;;;000000000;GENERAL MOLA, 32, 01299;PALOMEQUE, ESPAÑA
MAGERVYSA, S.L.;;;000535234;CTRA. DE JARANDILLA, KM. 0,600, 00208;NAVALMORAL DE LA MATA, ESPAÑA
MAGIC HOME, S.L.;;rafa.magic.home@hotmail.com;008737683;REAL, 00961;TIELMES, ESPAÑA
MAGNATEL, S.L.;;blanca@maggma.es;925559872;VOLTA, 4. POL. IND. SAN MARCOS, 01105;GETAFE, ESPAÑA
MAILINBLACK;;adv@mailinblack.com;000000000;4 PLACE SADI CARNOT, 02989;MARSEILLE, FRANCIA
MAITE FARRAN GOMEZ;;;000794282;MOSEN CINTO VERDAGUER, 7 BAIXOS, 01507;AITONA, ESPAÑA
MAJOISA, S.L.;;620942363;000855344;PEDRERO, 4, BAJO D, 01883;DAIMIEL, ESPAÑA
MANAU, S.A;;;002431616;PASSEIG MARAGALL, 108 - 112, 01963;BARCELONA, ESPAÑA
MANCHESTER BRICK SPECIALISTS LTD.;;sales@manchesterbrick.com;1 6413579;BURY NEW ROAD, 02889;SALFORD, REINO UNIDO
MANTEC TECHNICAL CERAMICS LIMITED;;;082377550;NORMACOT ROAD,LONGTON, 02415;STOKE-ON-TRENT,ST3 1PA, REINO UNIDO
MANTENIMIENTOS Y SERV. DADERIAL, S.C.;;;001616004;CARETOS, 3, 02222;CIEMPOZUELOS, ESPAÑA
MANTILLA VILLARTA, S.L.;;;925-548170;SESEÑA, 3, 01291;BOROX, ESPAÑA
MANUEL BLANCO LAGARES;;;916947865;JABIRU, 5, 00726;MADRID, ESPAÑA
MANUEL CALDERON COLLADO, S.A.;;;000866886;CTRA. DE GUADALUPE, 8, 00176;ORELLANA LA VIEJA, ESPAÑA
MANUEL CHAPARRO SANTOS;;chafermat@gmail.com;002796626;SOLIDARIDAD,2 NAVE A. ESQ. C/ESTILO, 01915;GETAFE, ESPAÑA
MANUEL ESCRIBANO ORDOÑEZ;;;000000000;AVD. EUROPA, 222, 00845;GETAFE, ESPAÑA
MANUEL ESPINOSA CAÑADILLAS;;;005052260;EDUARDO MINGUITO, 51, 00662;MADRID, ESPAÑA
MANUEL FERRER ROMERO, S.L.;;mundimat@arrakis.es;007611359;AVDA. COSTA BRAVA, 130 - 132, 00195;MALGRAT DE MAR, ESPAÑA
MANUEL GARCIA E HIJOS, S.L.;;MGHIJOS@hotmail.com;000544117;CTRA. DE UGENA, 3, 02551;CARRANQUE, ESPAÑA
MANUEL GARCIA FERNANDEZ;;;925544147;CTRA. DE UGENA, S/N, 01239;CARRANQUE, ESPAÑA
MANUEL GONZALEZ ALONSO;;;986353186;AVDA. DE PORTUGAL, 69, 01193;RAMALLOSA-NIGRAN, ESPAÑA
MANUEL MARIÑO Y CIA, S.A;;;000248887;CTRA. DE MIAJADAS, S/N, 00252;CACERES, ESPAÑA
MANUEL MARTINS PORTELA;;;918551130;BARRIO, 8, 00857;LOS MOLINOS, ESPAÑA
MANUEL PAVO JIMENEZ;;;924534009;REMEDIOS, 14, 00163;HORNACHOS, ESPAÑA
MANUEL PEREZ E HIJOS, S.L.;;;000000000;CTRA. NACIONAL 110,  KM. 376, 00263;NAVALCONCEJO, ESPAÑA
MANUEL ROMERO HERNANDEZ;;;000374640;PIZARRAL, 25, 00250;CECLAVIN, ESPAÑA
MANUEL RUIZ GARCIA, S.A.;;;005715606;BALDOMERO MUÑOZ, 71, 02095;UMBRETE, ESPAÑA
MANUEL SOBALER REGIS;;;005010174;LA CERAMICA, 78, 00934;MADRID, ESPAÑA
MANUEL SOSA SANCHEZ;;;666039028;LEGANES, 40, 00913;FUENLABRADA, ESPAÑA
MANUELA PIÑA RIVERA;;manoli.pinia@gmail.com;007774387;PILAR MIRO, 00927;RIVAS VACIAMADRID, ESPAÑA
MANUELA RICO RUIZ;;;918504219;BARTOLOME PEREZ CASAS, 22, 00749;LOS NEGRALES, ESPAÑA
MANZANO HERRANZ, S.L.;;;000000000;SANTA MARIA REINA, 01728;MADRID, ESPAÑA
MAPERI, S.A.;;maperi@maperi.com;607535515;SOTO DE CAZALEGAS, SECT.8, PARC. 24, 01610;CAZALEGAS, ESPAÑA
MAQUIDUR, S.L.U.;;;000540194;PLAZA VICENTE ALEXANDRE, 2,4º, 01389;ILLESCAS, ESPAÑA
MAQUINARIA Y OBRA CIVIL, S.L.;;;918089490;POZUELO, 13, 00844;COLMENAR DE OREJA, ESPAÑA
MARAI BIENES, S.L.;;;000000000;ISLAS MARSHALL, 61, 00690;MADRID, ESPAÑA
MARALA, S.L.;;;925-545403;LUGO, 14. POL. IND. LA ESTACION, 00849;YELES, ESPAÑA
MARCELINO PIRIZ ALVEZ;;;629113873;PIZARRO, 39, 00279;VALENCIA DE ALCANTARA, ESPAÑA
MARCHELUZZO IMPIANTI SRL;;info@marcheluzzo.com;044975385;BRENTA, 7, 02399;CASTELNOCO DI ISOLA VICENTINA, ITALIA
MARFIN SRL;;marfin@marfinsrl.com;000000000;VIA TRENTINO, 02672;MARANELLO, ITALIA
MARGALEJO CAMPO, S.L.;;;000468800;INDEPENDENCIA, 14, 1º DCHA., 01765;ZARAGOZA, ESPAÑA
MARGO MAT. DE CONST., S.L.;;;004230882;ASKATASUNA, 9-B, DPTO. 1, 01487;BILBAO, ESPAÑA
MARI CARMEN TOLEDO VELADA;;;000000000;DON JAIME I, 7DESPACHO 5, 02963;ZARAGOZA, ESPAÑA
MARIA ANTONIA ZAPIRAIN, S.A.;;;943491440;POL. UGALDETXO, S/N, 00436;OYARZUN, ESPAÑA
MARIA CAMARERO PEÑ;;;914166093;CARDENAL SILICEO, 22--2º, 00940;MADRID, ESPAÑA
MARIA DEL CARMEN JIMENEZ CHAVES;;;000000000;AVDA. ARCO IRIS, 2  CHALET 92, 02701;RIVAS VACIAMADRID, ESPAÑA
MARIA DEL PILAR RAMIREZ MORA;;;91-6052019;SANTO TOMAS DE AQUINO, 35, 00774;PARLA, ESPAÑA
MARIA ISABEL NUÑEZ CEBRIAN;;;000471148;ELIAS FERNANDEZ, 00411;EL HERRUMBLAR, ESPAÑA
MARIA JESUS NAVARRO PEREZ;;;000000000;AMERICA, 23, 02153;CARRANQUE, ESPAÑA
MARIA JOSE LAGUNA MORENO;;;000428802;CALVEROS, 92, 01672;PUERTOLLANO, ESPAÑA
MARIA LUISA GAMBOA MUÑOZ;;;008161675;DE LA FRONTERA, 00999;TORREJON DE VELASCO, ESPAÑA
MARIA PILAR PUEYO MESEGUER;;;000000000;FERNANDO MOLINE, 01909;LA PUEBLA DE ALFINDEN, ESPAÑA
MARIANO CASTREJON MONTERO;;;000000000;PLAZA CORREDERA, 14, 00518;CADALSO DE LOS VIDRIOS, ESPAÑA
MARIANO GARCIA HNOS., S.A.;;f.alvarez@magarsa.com;918450703;PRADO BANDERILLAS, 11. P.I. LA MINA, 00634;COLMENAR VIEJO, ESPAÑA
MARIANO TRUJILLO LOPEZ;;;915190162;SUERO DE QUIÑOÐES, 3, 00689;MADRID, ESPAÑA
